0.2331,1.5207,0.6499,0.7757,1.0524,1.1974
0.2908,0.2518,0.6682,0.5622,0.9023,0.1333
-0.5431,0.9407,-0.2126,0.0507,-0.081,0.7315
0.3345,1.065,-0.0247,0.1043,0.3122,0.6655
0.5838,1.1653,1.2653,0.8137,-0.3399,0.5152
0.7226,-0.2015,0.407,-0.1717,-1.0573,-0.2099
2.3385,2.1946,1.673,1.6365,1.7844,2.0155
2.0681,2.1213,2.4797,1.5118,1.9692,1.834
1.8704,2.2948,1.7714,2.3939,1.5648,1.9329
2.2027,2.4568,1.7523,1.6991,2.4883,1.7259
2.0466,2.0226,2.3757,1.7987,2.0828,2.0798
1.9449,2.3801,2.2373,2.1614,1.9235,2.2604
